1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: English name derived from the biblical name of a region of Assyria, derived from Hebrew avvah, meaning "overthrow, overturn." | female. IVAH
1: English name derived from the constellation name, meaning "lyre." | female. LYRA
1: English name derived from the Cornish word kerensa, meaning "love." | female. KERENSA
1: English name derived from the country name, composed of the Irish goddess name Ériu and Old Saxon land "land," hence "land of Ériu" or "land of peace." | female. IRELAND
1: English name derived from the country name, meaning "land of the Indus (river)." | female. INDIA
1: English name derived from the country name which probably got its name from the Qin dynasty. The Chinese people call their country Zhongguo which translates to "middle kingdom." Compare with another form of China. | female. CHINA
1: English name derived from the flower name, also known as the kingcup and marsh marigold, derived from the Greek word calyx, meaning "cup," denoting the shape of the flowers when they open. | female. CALTHA
1: English name derived from the flower name amaryllis, from Greek amarysso, meaning "to sparkle." | female. AMARYLLIS
1: English name derived from the flower name, a tendril-climbing, perennial herb plant. Some species are used medicinally. The name derives from Latin bryonia, from Greek bryo, meaning "to grow, sprout, swell." | female. BRYONY
1: English name derived from the flower name, composed of the name Mary "obstinacy, rebelliousness" or "their rebellion" and the word "gold." | female. MARIGOLD
1: English name derived from the flower name, from French carnation, meaning "complexion," from Italian carnagione, meaning "flesh-colored." | female. CARNATION
1: English name derived from the flower name, from French petun, an obsolete word for the tobacco plant. | female. PETUNIA
1: English name derived from the flower name, from Greek orkhis, meaning "testicle," from Proto-Indo-European orghi-, the base root for for the word "testicle." The plant was given this name because of the shape of its root. | female. ORCHID
1: English name derived from the flower name, from Latin asphodelus, from Greek asphodelos, meaning "asphodel flower." In Greek mythology, it is described as a pale yellow deathless kind of lily flower that overspreads the plains of Hades and is the favorite food of the dead. | female. DAFFODIL
1: English name derived from the flower name, from Latin lotus, from Greek lotos, a name for various kinds of plants before it came to designate the Egyptian "white lotus." The Greek word may ultimately come from Hebrew lowt, meaning "covering, veil." | female. LOTUS
1: English name derived from the flower name, from Latin papaver, which may be a reduplication of the base *pap-, meaning "to swell." | female. POPPY
1: English name derived from the flower name, from Latin prima rosa, meaning "first rose." | female. PRIMROSE
1: English name derived from the flower name, from Old English dægeseage, "day's eye." | female. DAISY
1: English name derived from the flower name, from the Old French word pensee, meaning "thought." | female. PANSY
1: English name derived from the flower name, from the surname of Swedish botanist Anders Dahl, meaning "valley," hence "dahlia flower" or "valley flower." | female. DAHLIA
1: English name derived from the flower name, meaning simply "gardenia flower." | female. GARDENIA
1: English name derived from the flower name, peony, which was named after the physician god Pæon because the flower was formerly used in medicine. | female. PEONY
1: English name derived from the flower name (sometimes called cockcombs or woolflowers), from Greek kelos, meaning "burned." | female. CELOSIA
1: English name derived from the flower name, "tansy," from a contracted form of Greek Athanasia, meaning "immortal." | female. TANSY
1: English name derived from the flower name which originally meant "a line of verse engraved on the inner surface of a ring," but later acquired the meaning "bouquet, flower."Pet form of English Josephine, meaning "(God) shall add (another son)." | female. POSY
1: English name derived from the flower name, "zinnia." | female. ZINNIA
1: English name derived from the "fourth" letter of the Greek alphabet. | female. DELTA
1: English name derived from the French phrase deja vu "already seen," hence "already." | female. DEJA
1: English name derived from the French phrase ma belle, meaning "my beautiful one." | female. MABELLE
1: English name derived from the French surname Lavergne, meaning "the alder (tree)." Rarely used anymore. Compare with feminine Laverne. | male. LAVERNE
1: English name derived from the French title for the "governor of a border country," from Old French marchis ("border country"). A Marquis ranks just below a Duke. | male. MARQUIS
1: English name derived from the French vocabulary word for "beautiful." It is often used in compound names, sometimes in the abbreviated form -bel. | female. BELLE
1: English name derived from the French word bijou, meaning "jewel." | female. BIJOU
1: English name derived from the French word chérie, meaning "darling." | female. CHERIE
1: English name derived from the French word for "sky." | female. CIEL
1: English name derived from the French word for "sung." | female. CHANTÉ
1: English name derived from the French word mignon, meaning "charming, delicate, pretty." | female. MIGNON
1: English name derived from the gem name, from Greek krystallos, meaning "ice." | female. CRYSTAL
1: English name derived from the gem name, from Latin corallium, probably ultimately from Hebrew goral, meaning "small pebble." | female. CORAL
1: English name derived from the Greek word thelema, meaning "will." In use by the English. | female. THELMA
1: English name derived from the Greek word xylon, meaning "forest-dweller." | female. XYLIA
1: English name derived from the herb name, "rosemary," from Latin rosmarinus, composed of ros "dew" and marinus "the sea," literally meaning "dew of the sea." In some cases the name may be a compound of Rose "rose" and Mary "obstinate, rebellious." | female. ROSEMARY
1: English name derived from the Irish Gaelic place name Teamhair in Meath, the seat of the high kings of Ireland, meaning "high place," i.e. "hill." Compare with another form of Tara. | female. TARA
1: English name derived from the Italian phrase cara mia, meaning "my beloved." | female. CARAMIA
1: English name derived from the Italian place name Val d'Orcia (or Valdorcia) of Tuscany, meaning "valley or life (or nature)," hence "life, nature." | female. DORCIA
1: English name derived from the Italian word donna, meaning "lady."Short form of English Donalda, meaning "world ruler." | female. DONNA
1: English name derived from the Latin name for the "sweetbrier rose," from aculeus, meaning "spine, prickle." | female. EGLANTINE
1: English name derived from the Latin name of a star in the constellation Lyra, from Arabian al-Waqi, meaning "falling; swooping." | female. VEGA
1: English name derived from the Latin name of the flowering evergreen shrub, camellia, named after the Czech-born missionary/botanist Georg Josef Kamel, from the word kamel, meaning "camel." | female. CAMELLIA
1: English name derived from the Latin title Dux Clarentiae ("Duke Illustrious") first borne by a son of Edward III who was married to the heiress of Clare in Suffolk, hence "illustrious." | male. CLARENCE
1: English name derived from the Latin word felinus, meaning "cat-like." | female. FELINA
1: English name derived from the Latin word for "land." Compare with another form of Terra. | female. TERRA
1: English name derived from the Latin word for the "broom plant." | female. GENISTA
1: English name derived from the month name April, from Latin Aprilis, from aperire, meaning "to open," in reference to the opening of flowers in spring. | female. APRIL
1: English name derived from the name of a district in London, meaning "landing place" or "landing port." | female. CHELSEA
1: English name derived from the name of a tribe of Native American people, meaning "southern people." | female. SHAWNEE
1: English name derived from the name of a yellow wildflower, from Greek chelidon, meaning "a swallow bird." | female. CELANDINE
