AGAF|Afutara Airport|Afutara
CYXT|Terrace Airport|Terrace, British Columbia
CYXU|London International Airport (London Airport)|London, Ontario
CYXX|Abbotsford International Airport|Abbotsford, British Columbia
CYXY|Whitehorse International Airport|Whitehorse, Yukon
CYXZ|Wawa Airport|Wawa, Ontario
CYYB|North Bay/Jack Garland Airport (North Bay Airport)|North Bay, Ontario
CYYC|Calgary International Airport|Calgary, Alberta
CYYD|Smithers Airport|Smithers, British Columbia
CYYE|Fort Nelson Airport|Fort Nelson, British Columbia
CYYF|Penticton Regional Airport (Penticton Airport, Penticton Airport (South Okanagan Regional Airport))|Penticton, British Columbia
CYYG|Charlottetown Airport|Charlottetown, Prince Edward Island
CYYH|Taloyoak Airport|Taloyoak, Nunavut
CYYJ|Victoria International Airport|Victoria, British Columbia
CYYL|Lynn Lake Airport|Lynn Lake, Manitoba
CYYM|Cowley Airport|Cowley, Alberta
CYYN|Swift Current Airport|Swift Current, Saskatchewan
CYYO|Wynyard Airport|Wynyard, Saskatchewan
CYYQ|Churchill Airport|Churchill, Manitoba
CYYR|CFB Goose Bay (Goose Bay Airport)|Happy Valley-Goose Bay, Newfoundland and Labrador
CYYT|St. John's International Airport|St. John's, Newfoundland and Labrador
CYYU|Kapuskasing Airport|Kapuskasing, Ontario
CYYW|Armstrong Airport|Armstrong, Ontario
CYYY|Mont-Joli Airport|Mont-Joli, Quebec
CYYZ|Toronto Pearson International Airport (Toronto/Lester B. Pearson International Airport, Pearson Airport)|Toronto, Ontario
CYZD|Toronto/Downsview Airport (Downsview Airport)|Toronto, Ontario
CYZE|Gore Bay-Manitoulin Airport|Gore Bay, Ontario
CYZF|Yellowknife Airport|Yellowknife, Northwest Territories
CYZG|Salluit Airport|Salluit, Quebec
CYZH|Slave Lake Airport|Slave Lake, Alberta
CYZP|Sandspit Airport|Sandspit, British Columbia
CYZR|Sarnia (Chris Hadfield) Airport|Sarnia, Ontario
CYZS|Coral Harbour Airport|Coral Harbour, Nunavut
CYZT|Port Hardy Airport|Port Hardy, British Columbia
CYZU|Whitecourt Airport|Whitecourt, Alberta
CYZV|Sept-Îles Airport|Sept-Îles, Quebec
CYZW|Teslin Airport|Teslin, Yukon
CYZX|CFB Greenwood (Greenwood Airport)|Greenwood, Nova Scotia
CYZY|Mackenzie Airport|Mackenzie, British Columbia
CZAC|York Landing Airport|York Landing, Manitoba
CZAM|Salmon Arm Airport|Salmon Arm, British Columbia
CZBA|Burlington Airpark|Burlington, Ontario
CZBB|Boundary Bay Airport|Delta, British Columbia
CZBD|Ilford Airport|Ilford, Manitoba
CZBF|Bathurst Airport|Bathurst, New Brunswick
CZBM|Bromont Airport|Bromont, Quebec
CZEE|Kelsey Airport|Kelsey, Manitoba
CZEM|Eastmain River Airport|Eastmain, Quebec
CZFA|Faro Airport (Yukon)|Faro, Yukon
CZFD|Fond-du-Lac Airport|Fond-du-Lac, Saskatchewan
CZFG|Pukatawagan Airport|Pukatawagan, Manitoba
CZFM|Fort McPherson Airport|Fort McPherson, Northwest Territories
CZFN|Tulita Airport|Tulita, Northwest Territories
CZGF|Grand Forks Airport|Grand Forks, British Columbia
CZGI|Gods River Airport|Gods River, Manitoba
CZGR|Little Grand Rapids Airport|Little Grand Rapids, Manitoba
CZHP|High Prairie Airport|High Prairie, Alberta
CZJG|Jenpeg Airport|Jenpeg, Manitoba
CZJN|Swan River Airport|Swan River, Manitoba
CZKE|Kashechewan Airport|Kashechewan First Nation, Ontario
CZLQ|Thicket Portage Airport|Thicket Portage, Manitoba
CZMD|Muskrat Dam Airport|Muskrat Dam, Ontario
CZML|South Cariboo Regional Airport (108 Mile Ranch Airport)|South Cariboo, British Columbia
CZMN|Pikwitonei Airport|Pikwitonei, Manitoba
CZMT|Masset Airport|Masset, British Columbia
CZNG|Poplar River Airport|Poplar River, Manitoba
CZNL|Nelson Airport, Canada|Nelson, British Columbia
CZPB|Sachigo Lake Airport|Sachigo Lake, Ontario
CZPC|Pincher Creek Airport|Pincher Creek, Alberta
CZPO|Pinehouse Lake Airport|Pinehouse Lake, Saskatchewan
CZRJ|Round Lake (Weagamow Lake) Airport|Round Lake, Ontario
CZSJ|Sandy Lake Airport|Sandy Lake, Ontario
CZSN|South Indian Lake Airport|South Indian Lake, Manitoba
CZST|Stewart Airport (British Columbia)|Stewart, British Columbia
CZSW|Prince Rupert/Seal Cove Water Airport|Prince Rupert, British Columbia
CZTA|Bloodvein River Airport|Bloodvein River, Manitoba
CZTM|Shamattawa Airport|Shamattawa, Manitoba
CZUC|Ignace Municipal Airport|Ignace, Ontario
CZUM|Churchill Falls Airport|Churchill Falls, Newfoundland and Labrador
CZVL|Edmonton/Villeneuve Airport (Villeneuve Airport)|Villeneuve, Alberta
CZWH|Lac Brochet Airport|Lac Brochet, Manitoba
CZWL|Wollaston Lake Airport|Wollaston Lake, Saskatchewan
DAAB|Blida Airport|Blida
DAAE|Soummam Airport|Bejaia
DAAG|Houari Boumedienne Airport|Algiers
DAAJ|Tiska Airport|Djanet
DAAK|Boufarik Airport|Boufarik
DAAP|Illizi Airport|Illizi
DAAS|Ain Arnat Airport|Setif
DAAT|Tamanrasset Airport|Tamanrasset
DAAV|Jijel Ferhat Abbas Airport|Jijel
DAAY|Mecheria Air Base|Mecheria
DAAZ|Relizane Airport|Relizane
DABB|Rabah Bitat Airport|Annaba
DABC|Mohamed Boudiaf International Airport|Constantine
DABP|Skikda Airport|Skikda
DABS|Tébessa Airport|Tébessa
DABT|Batna Airport|Batna
DAFH|Hassi R'Mel Airport|Hassi R'Mel
DAFI|Tsletsi Airport|Djelfa
DAOB|Bou Chekif Airport|Tiaret
DAOF|Tindouf Airport|Tindouf
DAOI|Chlef International Airport|Chlef
DAOL|Oran Tafaraoui Airport|Oran
DAON|Zenata Airport|Tlemcen
DAOO|Es Senia Airport|Oran
DAOR|Béchar Ouakda Airport|Béchar
DAOV|Ghriss Airport|Ghriss
DATG|In Guezzam Airport|In Guezzam
DATM|Bordj Mokhtar Airport|Bordj Mokhtar
DAUA|Touat Cheikh Sidi Mohamed Belkebir Airport|Adrar
DAUB|Biskra Airport|Biskra
DAUE|El Golea Airport|El Golea
DAUG|Noumerate Airport|Ghardaia
DAUH|Oued Irara Airport|Hassi Messaoud
DAUI|In Salah Airport|In Salah
DAUK|Touggourt Sidi Madhi Airport|Touggourt
DAUL|L'Mekrareg Airport|Laghouat
DAUO|Guemar Airport|El Oued
DAUT|Timimoun Airport|Timimoun
DAUU|Ain el Beida Airport|Ouargla
DAUZ|In Amenas Airport|In Amenas
DBBB|Cadjehoun Airport (Cotonou Airport)|Cotonou
DBBC|Cana Airport|Bohicon
DBBD|Djougou Airport|Djougou
DBBK|Kandi Airport|Kandi
DBBN|Natitingou Airport|Natitingou
DBBO|Porga Airport|Porga
DBBP|Parakou Airport|Parakou
DBBR|Bembereke Airport|Bembereke
DBBS|Savé Airport|Savé
DFCA|Kaya Airport|Kaya
DFCC|Ouahigouya Airport|Ouahigouya
DFCJ|Djibo Airport|Djibo
DFCL|Leo Airport|Leo
DFEA|Boulsa Airport|Boulsa
DFEB|Bogande Airport|Bogande
DFED|Diapaga Airport|Diapaga
DFEE|Dori Airport|Dori
DFEF|Fada N'gourma Airport|Fada N'gourma
DFEG|Gorom Gorom Airport|Gorom Gorom
DFEL|Kantchari Airport|Kantchari
DFEM|Tambao Airport|Tambao
DFEP|Pama Airport|Pama
DFES|Sebba Airport|Sebba
DFET|Tenkodogo Airport|Tenkodogo
DFEZ|Zabre Airport|Zabré
DFFD|Ouagadougou Airport|Ouagadougou
DFOB|Banfora Airport|Banfora
DFOD|Dedougou Airport|Dedougou
DFON|Nouna Airport|Nouna
DFOO|Bobo Dioulasso Airport|Bobo Dioulasso
DFOT|Tougan Airport|Tougan
DFOU|Diebougou Airport|Diebougou
DFOY|Aribinda Airport|Aribinda
DGAA|Kotoka International Airport|Accra
DGLE|Tamale Airport|Tamale
DGLN|Navrongo Airport|Navrongo
DGLW|Wa Airport|Wa
DGLY|Yendi Airport|Yendi
DGSI|Kumasi Airport|Kumasi
DGSN|Sunyani Airport|Sunyani
DGTK|Takoradi Airport|Takoradi
DIAO|Aboisso Airport|Aboisso
DIAP|Port Bouet Airport (Felix Houphouet Boigny International Airport)|Abidjan
DIAU|Abengourou Airport|Abengourou
DIBI|Boundiali Airport|Boundiali
DIBK|Bouake Airport|Bouake
DIBN|Tehini Airport|Bouna
DIBU|Soko Airport|Bondoukou
DIDK|Dimbokro Airport|Dimbokro
DIDL|Daloa Airport|Daloa
DIDV|Divo Airport|Divo
DIFK|Ferkessedougou Airport|Ferkessedougou
DIGA|Gagnoa Airport|Gagnoa
DIGL|Guiglo Airport|Guiglo
DIKO|Korhogo Airport|Korhogo
DIMN|Man Airport|Man
DIOD|Odienne Airport|Odienne
DIOF|Ouango Fitini Airport|Ouango Fitini
DISG|Seguela Airport|Seguela
DISP|San Pédro Airport|San Pédro
DISS|Sassandra Airport|Sassandra
DITB|Tabou Airport|Tabou
DITM|Mahana Airport|Touba
DIYO|Yamoussoukro Airport|Yamoussoukro
DNAA|Nnamdi Azikiwe International Airport|Abuja, FCT
DNAK|Akure Airport|Akure, Ondo State
DNBE|Benin Airport|Benin City, Edo State
DNBI|Bida Airstrip|Bida, Borno State
DNCA|Magaret Ekpo International Airport|Calabar, Cross River State
DNEN|Akanu Ibiam International Airport|Enugu, Enugu State
DNGU|Gusau Airstrip|Gusau, Zamfara State
DNIB|Ibadan Airport|Ibadan, Oyo State
DNIL|Ilorin International Airport|Ilorin, Kwara State
DNIM|Sam Mbakwe International Cargo Airport|Owerri, Imo State
DNJO|Jos Airport|Jos, Plateau State
DNKA|Kaduna International Airport|Kaduna, Kaduna State
DNKN|Mallam Aminu Kano International Airport|Kano, Kano State
DNMA|Maiduguri International Airport|Maiduguri, Borno State
DNMK|Makurdi Air Force Base|Makurdi, Benue State
DNMM|Murtala Mohammed International Airport|Ikeja, Lagos State
DNMN|Minna Airport|Minna, Niger State
DNOS|Osogbo Airstrip|Osogbo, Osun State
DNPO|Port Harcourt International Airport|Port Harcourt, Rivers State
DNSO|Sadiq Abubakar III International Airport|Sokoto, Sokoto State
DNYO|Yola Airport|Yola, Adamawa State
DNZA|Zaria Airport|Zaria, Adamawa State
DRRA|Tessaoua Airport|Tessaoua
DRRC|Dogondoutchi Airport|Dogondoutchi
DRRD|Dosso Airport|Dosso
DRRE|Téra Airport|Téra
DRRG|Gaya Airport|Gaya
DRRL|Tillabery Airport|Tillabery
DRRM|Maradi Airport|Maradi
DRRN|Diori Hamani International Airport|Niamey
DRRP|La Tapoa Airport|La Tapoa
DRRT|Tahoua Airport|Tahoua
DRRU|Ouallam Airport|Ouallam
DRZA|Mano Dayak International Airport|Agades South
DRZD|Dirkou Airport - Dirkou|
DRZF|Diffa Airport|Diffa
DRZG|Goure Airport|Goure
DRZI|Iferouane Airport|Iferouane
DRZL|Arlit Airport|Arlit
DRZM|Maine-Soroa Airport|Maine-Soroa
DRZR|Zinder Airport|Zinder
DTKA|Tabarka - 7 Novembre International Airport|Tabarka
DTMB|Monastir - Habib Bourguiba International Airport|Monastir
DTTA|Tunis - Carthage International Airport|Tunis
DTTF|Gafsa - Ksar International Airport|Gafsa
DTTG|Gabès - Matmata International Airport|Gabès
DTTJ|Djerba - Zarzis International Airport|Djerba
DTTX|Thyna/El Maou Airport|Sfax
DTTZ|Tozeur - Nefta International Airport|Tozeur
DTNZ|Enfidha - Zine El Abidine Ben Ali International Airport|Enfidha
DXAK|Akpaka Airport|Atakpame
DXDP|Djangou Airport|Dapaong
DXKP|Kolokope Airport|Anie
DXMG|Sansanné-Mango Airport|Sansanné-Mango
DXNG|Niamtougou International Airport|Niamtougou
DXSK|Sokode Airport|Sokode
DXXX|Lomé-Tokoin Airport|Lomé
EBAW|Antwerp International Airport|Antwerp / Deurne
EBBE|Beauvechain Air Base|Beauvechain
EBBL|Kleine Brogel Air Base|Kleine Brogel
EBBR|Brussels Airport|Brussels / Zaventem
EBBT|Brasschaat AB|Brasschaat
EBBX|Jehonville Air Base|Bertrix
EBCI|Brussels South Charleroi Airport|Charleroi
EBCF|Cerfontaine AB|Cerfontaine
EBCV|Chievres AB (U.S. Air Force)|Chievres
EBFN|Koksijde AB|Koksijde
EBFS|Florennes Air Base|Florennes
EBGB|Grimbergen Airfield|Grimbergen
EBHN|Hoevenen Airport|Hoevenen
EBKH|Balen-Keiheuvel Airport|Balen-Keiheuvel
EBKT|Kortrijk-Wevelgem International Airport|Kortrijk / Wevelgem
EBLG|Liege Airport|Liège
EBLE|Beverlo Air Base|Leopoldsburg
EBMB|Melsbroek Air Base|Brussels
EBNM|Suarlee Airport|Namur
EBOS|Ostend-Bruges International Airport|Ostend
EBSG|Saint-Ghislain AB|Saint-Ghislain
EBSH|Saint-Hubert Airport|Saint-Hubert
EBSL|Zutendaal AB|Zutendaal
EBSP|La Sauveniere Airport|Spa
EBST|Sint-Truiden AB|Sint-Truiden
EBSU|Saint-Hubert Air Base|Saint-Hubert
EBTN|Goetsenhoven AB|Goetsenhoven
EBTX|Verviers Airport|Theux
EBTY|Maubray Airport|Tournai
EBUL|Ursel AB|Ursel
EBWE|Weelde Air Base|Weelde
EBZH|Hasselt Airport|Hasselt
EBZR|Zoersel-Oostmalle Airfield - Zoersel / Oostmalle|
EBZW|Zwartberg Airport|Genk
EDAC|Leipzig-Altenburg Airport|Altenburg/Leipzig
EDAD|Dessau Airport|Dessau
EDAP|Cottbus-Neuhausen Airport|Cottbus
EDAX|Lärz/Rechlin Airport|Rechlin
EDCD|Cottbus-Drewitz Airport|Cottbus
EDCI|Klix Airfield - Bautzen|
EDDB|Berlin-Schönefeld International Airport (to be expanded and renamed Berlin Brandenburg International Airport in 2011)|Berlin
EDDC|Dresden Klotzsche Airport|Dresden
EDDE|Erfurt Airport|Erfurt
EDDF|Frankfurt International Airport|Frankfurt am Main
EDDG|Münster Osnabrück International Airport|Greven
EDDH|Hamburg Airport|Hamburg
EDDI|Tempelhof International Airport (closed in 2008)|Berlin
EDDK|Cologne Bonn Airport|Cologne/Bonn
EDDL|Düsseldorf International Airport|Düsseldorf
EDDM|Munich International Airport (Franz Josef Strauß International Airport)|Munich
EDDN|Nuremberg Airport|Nuremberg
EDDP|Leipzig/Halle Airport|Leipzig/Halle
EDDR|Saarbrücken Airport|Saarbrücken
EDDS|Stuttgart Echterdingen Airport|Stuttgart
EDDT|Tegel International Airport (closing in 2011)|Berlin
EDDV|Hanover/Langenhagen International Airport|Hanover
EDDW|Bremen Airport|Bremen
EDFE|Frankfurt Egelsbach Airport|Hesse
EDFH|Frankfurt-Hahn Airport|Rhineland-Palatinate
EDFM|Mannheim City Airport|Mannheim
EDFZ|Mainz-Finthen|Mainz
EDGS|Siegerland Airport|Burbach
EDHE|Uetersen Airport|Heist
EDHI|Hamburg Finkenwerder Airport|Hamburg
EDHK|Kiel Holtenau Airport|Kiel
EDHL|Lübeck Airport|Lübeck
EDIU|Heidelberg Airport|Heidelberg
EDJA|Allgäu Airport|Memmingen
EDKA|Aachen-Merzbrück Airport|Aachen
EDKB|Bonn-Hangelar Airport|Sankt Augustin
EDKL|Leverkusen Airport|Leverkusen
EDKV|Dahlemer Binz Airport|Dahlem
EDLC|Kamp-Lintfort|Wesel
EDLG|Goch-Asperden Airport|Goch
EDLK|Krefeld-Egelsberg Airport|Krefeld
EDLN|Düsseldorf-Mönchengladbach Airport|Mönchengladbach
EDLP|Paderborn Lippstadt Airport|Paderborn / Lippstadt
EDLS|Stadtlohn-Vreden Airport|Stadtlohn
EDLV|Weeze Airport (formerly Niederrhein Airport)|Weeze
EDLW|Dortmund Airport|Dortmund
EDNY|Bodensee Airport|Friedrichshafen
EDMA|Augsburg Airport|Augsburg
EDMQ|Donauwörth Airport|Genderkingen
EDOJ|Lüsse|Lüsse
EDOP|Schwerin-Parchim Airport|Parchim
EDQD|Bindlacher Berg Airport (Bayreuth Airport)|Bayreuth
EDQM|Hof-Plauen Airfield|Hof/Plauen
EDRB|Bitburg Airport|Bitburg
EDRI|Linkenheim Airport|Linkenheim-Hochstetten
EDRK|Koblenz Winningen|Winningen, Mosel
EDRZ|Zweibrücken Airport|Zweibrücken
EDSB|Baden Airpark|Baden-Baden / Karlsruhe
EDTY|Adolf Würth Airport|Schwäbisch Hall
EDTX|Weckrieden|Schwäbisch Hall
EDVK|Kassel Calden Airport|Kassel
EDWB|Bremerhaven Airport|Bremerhaven
EDXH|Heligoland Airport|Heligoland
EDXM|St. Michaelisdonn|St. Michaelisdonn
EDXW|Sylt Airport|Westerland, Sylt
ETAD|Spangdahlem Air Base|Spangdahlem
ETAR|Ramstein Air Base|Ramstein
ETHA|Altenstadt Army Base|Altenstadt
ETHB|Bückeburg Army Base|Bückeburg
ETHC|Celle Air Base|Celle
ETHE|Rheine Air Base|Rheine
ETHF|Fritzlar Army Base|Fritzlar
ETHL|Laupheim Army Base|Laupheim
ETHM|Mendig Army Base|Niedermendig
ETHR|Roth Army Base|Roth
ETHS|Fassberg Army Base|Fassberg
ETHT|Cottbus Air Base|Cottbus
ETMN|Nordholz Naval Air Station|Nordholz
ETND|Diepholz Air Base|Diepholz
ETNG|NATO Air Base Geilenkirchen|Geilenkirchen
ETNH|Hohn Air Base|Hohn
ETNJ|Jever Air Base|Schortens
ETNL|Rostock Laage Airport|Rostock
ETNN|Nörvenich Air Base|Nörvenich
ETNS|Schleswig Air Base|Schleswig
ETNT|Wittmundhafen Air Base|Wittmund
ETNW|Wunstorf Air Base|Wunstorf
ETOR|Coleman Army Airfield|Mannheim
ETOU|Wiesbaden Army Airfield|Wiesbaden
ETSA|Landsberg-Lech Air Base|Landsberg am Lech
ETSB|Büchel Air Base|Büchel / Cochem
ETSE|Erding Air Base|Erding
ETSF|Fürstenfeldbruck Air Base|Fürstenfeldbruck
ETSH|Holzdorf Air Base|Jessen (Elster)
ETSI|Ingolstadt Manching Airport|Ingolstadt
ETSL|Lechfeld Air Base|Lechfeld
ETUL|RAF Laarbruch|Weeze (closed in 1999, now Weeze Airport, NRN/EDLV)
ETUO|RAF Gütersloh|Gütersloh (closed in 1993)
ETUR|RAF Brüggen|Brüggen (closed in 2001)
ETWM|Meppen Air Base|Meppen
EEEI|Ämari Air Base|Ämari
EEKA|Kärdla Airport|Kärdla, Hiiumaa
EEKE|Kuressaare Airport|Kuressaare, Saaremaa
EEKU|Kihnu Airfield|Kihnu
EENI|Nurmsi Airfield|Nurmsi
EENA|Narva Airfield|Narva
EEPU|Pärnu Airport|Pärnu
EERA|Rapla Airfield|Rapla
EERI|Ridali Airfield|Ridali
EERU|Ruhnu Airfield|Ruhnu
EETA|Tapa Airfield|Tapa
EETN|Tallinn Airport|Tallinn
EETU|Tartu Airport|Tartu
EEVI|Viljandi Airfield|Viljandi
EFAH|Ahmosuo Airport|Ahmosuo
EFAL|Alavus Airport|Alavus
EFET|Enontekiö Airport|Enontekiö
EFEU|Eura Airport|Eura
EFFO|Forssa Airport|Forssa
EFHA|Halli Airport|Kuorevesi
EFHF|Helsinki-Malmi Airport|Helsinki
EFHK|Helsinki-Vantaa Airport|Vantaa
EFHM|Hämeenkyrö Airport|Hämeenkyrö
EFHN|Hanko Airport (Hangö Airport)|Hanko (Hangö)
EFHV|Hyvinkää Airport|Hyvinkää
EFIK|Kiikala Airport|Kiikala
EFIL|Seinäjoki Airport|Seinäjoki / Ilmajoki
EFIM|Immola Airport|Immola
EFIT|Kitee Airport|Kitee
EFIV|Ivalo Airport|Ivalo / Inari
EFJM|Jämijärvi Airport|Jämijärvi
EFJO|Joensuu Airport|Joensuu / Liperi
EFJY|Jyväskylä Airport|Jyväskylän maalaiskunta
EFKA|Kauhava Airport|Kauhava
EFKE|Kemi-Tornio Airport|Kemi / Tornio
EFKI|Kajaani Airport|Kajaani
EFKJ|Kauhajoki Airport|Kauhajoki
EFKK|Kronoby Airport (Kokkola and Jakobstad Airport)|Kronoby / Kokkola / Jakobstad
EFKM|Kemijärvi Airport|Kemijärvi
EFKO|Kalajoki Airport|Kalajoki
EFKS|Kuusamo Airport|Kuusamo
EFKT|Kittilä Airport|Kittilä
EFKU|Kuopio Airport|Kuopio / Siilinjärvi
EFKV|Kivijärvi Airport|Kivijärvi
EFKY|Kymi Airport|Kymi
EFLA|Vesivehmaa Airport|Lahti
EFLP|Lappeenranta Airport|Lappeenranta
EFMA|Mariehamn Airport|Mariehamn
EFME|Menkijärvi Airport|Menkijärvi
EFMI|Mikkeli Airport|Mikkeli
EFNU|Nummela Airport|Nummela
EFOU|Oulu Airport|Oulunsalo
EFPI|Piikajärvi Airport|Piikajärvi
EFPK|Pieksämäki Airport|Pieksämäki
EFPO|Pori Airport|Pori
EFPU|Pudasjärvi Airport|Pudasjärvi
EFPY|Pyhäsalmi Airport|Pyhäsalmi
EFRH|Pattijoki Airport|Raahe
EFRN|Rantasalmi Airport|Rantasalmi
EFRO|Rovaniemi Airport|Rovaniemi
EFRU|Ranua Airport|Ranua
EFRV|Kiuruvesi Airport|Kiuruvesi
EFRY|Räyskälä Airport|Räyskälä
EFSA|Savonlinna Airport|Savonlinna
EFSE|Selänpää Airport|Selänpää
EFSI|Seinajoki Airport|Seinajoki
EFSO|Sodankylä Airport|Sodankylä
EFTP|Tampere-Pirkkala Airport|Tampere / Pirkkala
EFTS|Teisko Airport|Teisko
EFTU|Turku Airport|Turku
EFUT|Utti Airport|Utti / Valkeala
EFVA|Vaasa Airport|Vaasa
EFVR|Varkaus Airport|Varkaus / Joroinen
EFYL|Ylivieska Airport|Ylivieska
EGAA|Belfast International Airport|Belfast, Northern Ireland
EGAB|Enniskillen/St Angelo Airport|Enniskillen, Northern Ireland
EGAC|George Best Belfast City Airport|Belfast, Northern Ireland
EGAD|Newtownards Airport|Newtownards, Northern Ireland
EGAE|City of Derry Airport|Derry, Northern Ireland
EGBB|Birmingham International Airport|Birmingham, England
EGBC|Cheltenham Racecourse Heliport|Cheltenham Racecourse, England
EGBD|Derby Airfield|Derby, England
EGBE|Coventry Airport|Coventry, England
EGBG|Leicester Airport|Leicester, England
EGBJ|Gloucestershire Airport|Staverton, England
EGBK|Sywell Aerodrome|Northampton, England
EGBM|Tatenhill Airfield|Tatenhill, England
EGBN|Nottingham Airport|Nottingham, England
EGBO|Wolverhampton Airport|Wolverhampton, England
EGBP|Kemble Airport|Kemble, England
EGBS|Shobdon Aerodrome|Leominster, England
EGBT|Turweston Aerodrome|Turweston, England
EGBV|Silverstone Heliport|Silverstone, England
EGBW|Wellesbourne Mountford Airfield|Wellesbourne, England
EGCB|City Airport Manchester|Manchester, England
EGCC|Manchester Airport|Manchester, England
EGCD|Woodford Aerodrome|Stockport, England
EGCF|Sandtoft Airfield|Scunthorpe, England
EGCG|Strubby Airfield|Strubby, England
EGCJ|Sherburn-in-Elmet Airfield|Sherburn-in-Elmet, England
EGCK|Caernarfon Airport|Caernarfon, Wales
EGCL|Fenland Airfield|Spalding, England
EGCN|Robin Hood Airport Doncaster Sheffield|South Yorkshire, England
EGCO|Southport Birkdale Sands Airport|Southport, England
EGCS|Sturgate Airfield|Lincoln, England
EGCV|Sleap Airfield|Shrewsbury, England
EGCW|Welshpool Airport|Welshpool, Wales
EGDC|Royal Marines Base Chivenor|Braunton, England
EGDJ|Upavon Airfield|Upavon, England
EGDL|RAF Lyneham|Wiltshire, England
EGDM|MoD Boscombe Down|Amesbury, England
EGDN|Airfield Camp Netheravon|Netheravon, England
EGDO|RNAS Predannack|Mullion, England
EGDP|RNAS Portland Heliport|Portland Harbour, England
EGDR|RNAS Culdrose|Helston, England
EGDS|Salisbury Plain Airport|Bulford, England
EGDT|Wroughton Airport|Wroughton, England
EGDV|Hullavington Airport|Hullavington, England
EGDW|RNAS Merryfield|Yeovil, England
EGDX|MoD Saint Athan|St Athan, Wales
EGDY|RNAS Yeovilton|Yeovil, England
EGEC|Campbeltown Airport|Campbeltown, Scotland
EGED|Eday Airport|Eday, Scotland
EGEF|Fair Isle Airport|Fair Isle, Scotland
EGEH|Whalsay Airport|Whalsay, Scotland
EGEN|North Ronaldsay Airport|North Ronaldsay, Scotland
EGEO|Oban Airport|Oban, Scotland
EGEP|Papa Westray Airport|Papa Westray, Scotland
EGER|Stronsay Airport|Stronsay, Scotland
EGES|Sanday Airport|Sanday, Scotland
EGET|Tingwall Airport|Lerwick, Scotland
EGEW|Westray Airport|Westray, Scotland
EGFA|Aberporth Airport|Cardigan, Wales
EGFC|Cardiff Heliport|Cardiff, Wales
EGFE|Haverfordwest Aerodrome|Haverfordwest, Wales
EGFF|Cardiff International Airport|Cardiff, Wales
EGFH|Swansea Airport|Swansea, Wales
EGFP|Pembrey Airport|Pembrey, Wales
EGGD|Bristol International Airport|Bristol, England
EGGP|Liverpool John Lennon Airport|Liverpool, England
EGGW|London Luton Airport|London, England
EGHA|Compton Abbas Airfield|Shaftesbury, England
EGHB|Maypole Airfield|Maypole (Hoath), England
EGHC|Land's End Airport|St Just in Penwith, England
EGHD|Plymouth City Airport|Plymouth, England
EGHE|St. Mary's Airport|St. Mary's, England
EGHG|Yeovil/Westland Airport|Yeovil, England
EGHH|Bournemouth Airport|Bournemouth, England
EGHI|Southampton Airport|Southampton, England
EGHJ|Bembridge Airport|Sandown, England
EGHK|Penzance Heliport|Penzance, England
EGHL|Lasham Airfield|Basingstoke, England
EGHN|Isle of Wight/Sandown Airport|Sandown, England
EGHO|Thruxton Aerodrome|Andover, England
EGHP|Popham Airfield|Popham, England
EGHR|Chichester (Goodwood) Airfield|Chichester, West Sussex, England
EGHS|Henstridge Airfield|Henstridge, England
